,False Positive Rate,True Positive Rate
0,0.0,0.0
1,0.0,0.009900990099009901
2,0.0,0.1782178217821782
3,0.008620689655172414,0.1782178217821782
4,0.008620689655172414,0.38613861386138615
5,0.017241379310344827,0.38613861386138615
6,0.017241379310344827,0.5148514851485149
7,0.02586206896551724,0.5148514851485149
8,0.02586206896551724,0.5346534653465347
9,0.04310344827586207,0.5346534653465347
10,0.04310344827586207,0.5544554455445545
11,0.0603448275862069,0.5544554455445545
12,0.0603448275862069,0.5643564356435643
13,0.06896551724137931,0.5643564356435643
14,0.06896551724137931,0.6138613861386139
15,0.07758620689655173,0.6138613861386139
16,0.07758620689655173,0.6435643564356436
17,0.08620689655172414,0.6435643564356436
18,0.08620689655172414,0.7128712871287128
19,0.09482758620689655,0.7128712871287128
20,0.09482758620689655,0.7227722772277227
21,0.10344827586206896,0.7227722772277227
22,0.10344827586206896,0.7326732673267327
23,0.11206896551724138,0.7326732673267327
24,0.11206896551724138,0.7524752475247525
25,0.13793103448275862,0.7524752475247525
26,0.13793103448275862,0.7821782178217822
27,0.14655172413793102,0.7821782178217822
28,0.14655172413793102,0.7920792079207921
29,0.15517241379310345,0.7920792079207921
30,0.15517241379310345,0.8217821782178217
31,0.16379310344827586,0.8217821782178217
32,0.16379310344827586,0.8613861386138614
33,0.1810344827586207,0.8613861386138614
34,0.1810344827586207,0.8712871287128713
35,0.1896551724137931,0.8712871287128713
36,0.1896551724137931,0.8910891089108911
37,0.28448275862068967,0.8910891089108911
38,0.28448275862068967,0.900990099009901
39,0.29310344827586204,0.900990099009901
40,0.29310344827586204,0.9108910891089109
41,0.3275862068965517,0.9108910891089109
42,0.3275862068965517,0.9207920792079208
43,0.33620689655172414,0.9207920792079208
44,0.33620689655172414,0.9306930693069307
45,0.4482758620689655,0.9306930693069307
46,0.4482758620689655,0.9405940594059405
47,0.5517241379310345,0.9405940594059405
48,0.5517241379310345,0.9504950495049505
49,0.603448275862069,0.9504950495049505
50,0.603448275862069,0.9603960396039604
51,0.6293103448275862,0.9603960396039604
52,0.6293103448275862,0.9702970297029703
53,0.6896551724137931,0.9702970297029703
54,0.6896551724137931,0.9801980198019802
55,0.7241379310344828,0.9801980198019802
56,0.7241379310344828,0.9900990099009901
57,0.7413793103448276,0.9900990099009901
58,0.7413793103448276,1.0
59,1.0,1.0
